barcode,description,extdescription,department,prodgroup,category,season,colour,size,url
25728798,Cotton Wide Leg Pant,Your go-to wide leg pant in 100% cotton with belt loops. Inside leg length = 70cm.,Pants,Pants Woven,Pants Woven,SUMMER 2020,MILK,6,https://www.glassons.com/content/products/peri-cool-pant-croissant-front-pw48526cot.jpg?width=200
25821895,Stitch Crew Neck Longsleeve Top,"This longsleeve top features a relaxed fit, round neckline, cotton fabric and frill detailing.",Knit Tops,Tops Longsleeve,Tops Longsleeve,SUMMER 2021,WHITE,S,https://www.glassons.com/content/products/filo-flat-longsleeve-black-front-tl49096cot.jpg?width=200
25654400,Button Up Cami,"This ribbed cami features a cropped length, button through detail with v-neckline.",Knit Tops,Tops Sleeveless,Tops Sleeveless,SUMMER 2021,JUST MARRIED,S,https://www.glassons.com/content/products/bellami-button-cami-just-married-front-tv47283rib.jpg?width=200
25730753,Stripe Split Side Ponte Pant,"These ponte pants feature a slim-fit, high-rise waist, stripe print and flared leg with side split detail. Inside leg length = 78cm.",Pants,Pants Casual,Pants Casual,WINTER 2021,MILK PINSTRIPE,8,https://www.glassons.com/content/products/naomi-split-side-ponte-pant-milk-pinstripe-front-pw47501stp.jpg?width=200
25799057,Pinstripe Tailored Wide Leg Pant,"These pants feature a high-rise, wide leg with a pinstripe print and hook and eye fastening. 

This product is made from certified lyocell fibres that come from renewable wood sources using a closed loop production process. TENCEL™ LENZING™ certified.",Pants,Pants Woven,Pants Woven,NULL,PINSTRIPE,8,https://www.glassons.com/content/products/t-fiona-wide-leg-pinstripe-front-pw48691tpin.jpg?width=200
25738575,Wrap Tennis Mini Skirt,This wrap style mini skirt features a side split and mini shorts underneath.,Skirts,Skirts,Skirts Short,NULL,BLACK,14,https://www.glassons.com/content/products/rafael-wrap-tennis-skirt-black-front-ss48635pln.jpg?width=200
25838831,Gold Chain Mini Skirt,This mini skirt features a slim-fit and a gold chain belt.,Skirts,Skirts,Skirts Short,SUMMER 2020,BLACK/GOLD,6,https://www.glassons.com/content/products/coco-chain-skirt-blackgold-front-ss49071chn.jpg?width=200
25843347,Ruched Keyhole Top,"This top features a cropped length, ruching and keyhole cut-out detail.",Knit Tops,Tops Longsleeve,Tops Longsleeve,SUMMER 2021,CASH COW,S,https://www.glassons.com/content/products/remi-ruched-keyhole-blouse-cash-cow-front-tl48443tex.jpg?width=200
25720198,Black Round Sunglasses,A black round style featuring a dark lense and gold hardware.,Accessories,Sunglasses,Sunglasses,NULL,BLACK,OS,https://www.glassons.com/content/products/runaway-sunglasses-black-front-ga43594bla.jpg?width=200
25803846,Cropped Stripe Ruched Bralette,"This bralette features ruched detail, triangle cups, stripe print and shoulder ties. 100% cotton.",Blouses,Blouse Sleeveless,Blouse Sleeveless,SUMMER 2021,BLUE/WHITE PINSTRIPE,10,https://www.glassons.com/content/products/co-ollie-cropped-brallete-bluewhite-pinstripe-front-bv48183stp.jpg?width=200
25752731,Ruched Button Front Shirt,"This shirt features a full-length, ruched detailing, button through front fastening and collar.",Knit Tops,Tops Cardigan,Tops Cardigan,SUMMER 2021,BLACK,XS,https://www.glassons.com/content/products/rubi-ruched-button-front-top-black-front-tc48454pln.jpg?width=200
25767735,Ribbed Halter Knit Top,"This top features a cropped length, halter necklin, ribbing and a back tie.",Knitwear,Knitwear Sleeveless,Knitwear Sleeveless,SUMMER 2021,LEMON CELLO,S,https://www.glassons.com/content/products/harvey-halter-knit-top-lemon-cello-front-kv48390knt.jpg?width=200
25737868,Ruched V-Neck Halter Mini Dress,"This mini dress features a slim-fit, halter neckline with ruched detail.",Dresses,Dresses Short,Dresses Short,SUMMER 2020,BLACK,S,https://www.glassons.com/content/products/audrey-ruched-v-neck-halter-dress-black-front-ds48024pln.jpg?width=200
25716290,Square Cat Eye Tortoise Sunglasses,Oversized square-cat eye sunglasses featuring a wide tortoise frame and dark lense.,Accessories,Sunglasses,Sunglasses,NULL,DARK TORTOISE,OS,https://www.glassons.com/content/products/lexi-sunglasses-dark-tortoise-front-ga37651dem.jpg?width=200
25730067,High Rise Straight Leg Ponte Pant,"These pants feature a high-rise, cropped length, stretch material and a flared bottom. 

This product is made from certified viscose fibres that come from renewable wood sources using an eco-responsible production process. LENZING™ ECOVERO™ certified.",Pants,Pants Casual,Pants Casual,WINTER 2021,BLACK,10,https://www.glassons.com/content/products/t-paulina-party-ponte-pant-black-front-pw48071tpon.jpg?width=200
25807103,Cow Print High Rise Straight Jean,"Straight leg jean featuring a raw hem and high waisted fit and cow print. Inside leg length = 71.5cm.

This product is made from recycled cotton, recycled cotton reduces the reliance on virgin cotton. Our Recycled Cotton is Global Recycled Standard (GRS) sourced and certified.",Pants,Jeans Denim,Jeans Denim,SUMMER 2021,CASH MOO,8,https://www.glassons.com/content/products/p-kelsey-super-high-straight-leg-jean-cash-moo-front-jd43761pcam.jpg?width=200
25725117,Wide Leg Jean,"Featuring a high waist, snug through the hip with a straight leg style and ripped detailing on the hem. Inside leg length is 70cm.",Pants,Jeans Denim,Jeans Denim,WINTER 2021,WASHED BLACK,10,https://www.glassons.com/content/products/beadie-wide-leg-crop-jean-falcon-b-wash-front-jd41279for.jpg?width=200
